msl_height_m,z_factor,area_m2,volume_m3
487.83,1,282771.03951031,1129813.4074404
487.82,1,282689.62293736,1126986.1940125
487.81,1,282607.34170933,1124159.8143987
487.8,1,282520.31457021,1121334.199381
487.79,1,282400.30131193,1118509.816967
487.78,1,282312.43422356,1115686.2229255
487.77,1,282223.3713968,1112863.547647
487.76,1,282133.34050083,1110041.7677566
487.75,1,282042.57772351,1107220.9348009
487.74,1,281951.14972117,1104401.0212795
487.73,1,281859.10135078,1101582.0139151
487.72,1,281766.55144019,1098763.9447391
487.71,1,281673.45327373,1095946.7679538
487.7,1,281579.88056522,1093130.5326224
487.69,1,281485.85159922,1090315.2170992
487.68,1,281391.36635134,1087500.8644961
487.67,1,281296.32054062,1084687.4314516
487.66,1,281200.72972792,1081874.9718017
487.65,1,281104.51781934,1079063.4864381
487.64,1,281007.58030819,1076252.9647556
487.63,1,280909.76975069,1073443.3936257
487.62,1,280810.71985378,1070634.8405845
487.61,1,280709.17996118,1067827.2860359
487.6,1,279760.95917864,1065020.8161345
487.59,1,279614.16580546,1062223.9940948
487.58,1,279485.83714121,1059428.4840901
487.57,1,279356.4800034,1056634.2593323
487.56,1,279226.67102256,1053841.3136343
487.55,1,279096.46292443,1051049.7049368
487.54,1,278965.98531828,1048259.4063134
487.53,1,278835.39465849,1045470.3619771
487.52,1,278704.81586996,1042682.6765433
487.51,1,278574.12994979,1039896.2914502
487.5,1,278443.46472731,1037111.2349613
487.49,1,278312.84111414,1034327.4699369
487.48,1,278182.21197378,1031545.0528808
487.47,1,278051.59269556,1028763.8942883
487.46,1,277920.96010966,1025984.0551079
487.45,1,277790.3582655,1023205.5224699
487.44,1,277659.72440098,1020428.2497206
487.43,1,277529.22389894,1017652.3154521
487.42,1,277398.57322384,1014877.6837299
487.41,1,277267.51090091,1012104.4034564
487.4,1,277106.85961849,1009332.4257886
487.39,1,276104.89766015,1006570.4954169
487.38,1,275958.7892158,1003810.1596157
487.37,1,275813.39049884,1001051.2688252
487.36,1,275668.24539297,998293.85347271
487.35,1,275523.10973532,995537.93043843
487.34,1,275377.98206539,992783.46364254
487.33,1,275232.66297358,990030.41098395
487.32,1,275087.26310555,987278.81160298
487.31,1,274941.65044128,984528.64064141
487.3,1,274795.83012423,981779.95087432
487.29,1,274649.71551731,979032.74858943
487.28,1,274503.35404098,976287.01795623
487.27,1,274356.84620828,973542.66549922
487.26,1,274210.02044893,970799.8486679
487.25,1,274062.92883172,968058.46794052
487.24,1,273915.59687427,965318.56176371
487.23,1,273768.03313752,962580.14218574
487.22,1,273620.1396312,959843.24844639
487.21,1,273470.45455468,957107.79212069
487.2,1,271970.17036899,954373.90773148
487.19,1,271692.98934716,951655.81414724
487.18,1,271486.87758122,948939.93859206
487.17,1,271283.64942207,946226.07491476
487.16,1,271081.87453931,943514.21561053
487.15,1,270881.47164084,940804.38090345
487.14,1,270682.16900669,938096.51455791
487.13,1,270484.25732869,935390.72050379
487.12,1,270287.59769775,932686.89157834
487.11,1,270091.92713214,929985.04019506
487.1,1,269897.46938866,927285.07149148
487.09,1,269704.08782737,924587.10879676
487.08,1,269511.66807211,921891.01762103
487.07,1,269320.36368048,919196.88616115
487.06,1,269130.12130224,916504.65728223
487.05,1,268940.72566556,913814.34130715
487.04,1,268752.20744281,911125.87046714
487.03,1,268564.6632228,908439.30039108
487.02,1,268377.83261466,905754.59546765
487.01,1,268190.54757346,903071.78236258
487,1,267959.67151671,900390.9766715
486.99,1,267141.52996505,897718.6036185
486.98,1,266968.54587426,895048.04594863
486.97,1,266796.09797928,892379.22847541
486.96,1,266623.91563981,889712.14752159
486.95,1,266452.12722467,887046.77323273
486.94,1,266280.68099659,884383.10755638
486.93,1,266109.50179748,881721.1736362
486.92,1,265938.68802191,879060.91797229
486.91,1,265768.13908225,876402.38435774
486.9,1,265597.97833431,873745.59532466
486.89,1,265428.1331326,871090.49050938
486.88,1,265258.52265507,868437.10212092
486.87,1,265089.22095662,865785.38850851
486.86,1,264920.00249074,863135.32918414
486.85,1,264750.87184911,860487.01823152
486.84,1,264581.59786111,857840.37834621
486.83,1,264412.00989616,855195.45260601
486.82,1,264241.70353126,852552.23013765
486.81,1,264069.05354991,849910.73510215
486.8,1,263852.67314818,847271.0521603
486.79,1,262374.69386006,844646.05426416
486.78,1,262148.2356789,842023.42216308
486.77,1,261923.03962272,839403.05039799
486.76,1,261698.40773946,836784.99192509
486.75,1,261474.39971706,834169.1049412
486.74,1,261250.72651419,831555.53507823
486.73,1,261027.75558205,828944.16471042
486.72,1,260805.33920236,826335.01553592
486.71,1,260583.3801362,823728.09494992
486.7,1,260361.94112856,821123.34717568
486.69,1,260141.150357,818520.85954454
486.68,1,259920.89981381,815920.54359207
486.67,1,259701.12133168,813322.45432851
486.66,1,259481.77877576,810726.55816898
486.65,1,259262.7266873,808132.85400056
486.64,1,259043.86479145,805541.36556398
486.63,1,258824.94176292,802952.11316337
486.62,1,258605.14912512,800365.02059
486.61,1,258383.14172444,797780.1086937
486.6,1,257143.57241111,795197.49619098
486.59,1,256890.80062493,792627.42075466
486.58,1,256668.16558399,790059.6211747
486.57,1,256446.88898611,787494.06257898
486.56,1,256226.57670875,784930.6946329
486.55,1,256007.28574125,782369.53307265
486.54,1,255789.11719547,779810.5349498
486.53,1,255572.05058807,777253.74847716
486.52,1,255356.20106312,774699.10024471
486.51,1,255141.49917524,772146.6123424
486.5,1,254927.89931054,769596.26982689
486.49,1,254715.33132142,767048.0527355
486.48,1,254503.81648081,764501.99466274
486.47,1,254293.36072176,761958.04983004
486.46,1,254083.89984524,759416.22289912
486.45,1,253875.30607792,756876.40803824
486.44,1,253667.80679831,754338.72138596
486.43,1,253461.40748361,751803.10298261
486.42,1,253256.28220568,749269.49309987
486.41,1,253051.51174177,746737.95237664
486.4,1,252827.09202107,744208.47818415
486.39,1,252530.35642316,741682.01512288
486.38,1,252333.61923851,739157.6979021
486.37,1,252139.8785685,736635.3446941
486.36,1,251947.69559413,734114.89858175
486.35,1,251757.33257041,731596.37028961
486.34,1,251568.38102798,729079.72318745
486.33,1,251380.558824,726564.98341258
486.32,1,251193.76176894,724052.16407542
486.31,1,251007.95847075,721541.13575303
486.3,1,250823.11440229,719032.01745234
486.29,1,250639.20964591,716524.68904774
486.28,1,250456.15052084,714019.2318499
486.27,1,250273.938284,711515.55094921
486.26,1,250092.5267171,709013.72221976
486.25,1,249911.87483619,706513.69908466
486.24,1,249731.98725898,704015.45686072
486.23,1,249552.75311059,701519.0818164
486.22,1,249373.92572071,699024.47091863
486.21,1,249194.3735278,696531.65373669
486.2,1,248819.33457637,694040.59809821
486.19,1,248626.09527103,691553.38387681
486.18,1,248451.48401623,689067.98781264
486.17,1,248278.22638817,686584.36995865
486.16,1,248105.20137641,684102.43294888
486.15,1,247931.83463755,681622.26330569
486.14,1,247757.93148071,679143.79528626
486.13,1,247583.51459634,676667.12680616
486.12,1,247408.42497399,674192.14268094
486.11,1,247232.65178321,671718.95050206
486.1,1,247056.15062224,669247.52662453
486.09,1,246878.91468178,666777.84369166
486.08,1,246700.92683453,664309.982665
486.07,1,246522.12280924,661843.89445887
486.06,1,246342.35237521,659379.57581343
486.05,1,246161.56784429,656917.11407151
486.04,1,245979.69279099,654456.40571155
486.03,1,245796.37592725,651997.59137569
486.02,1,245611.53608919,649540.57578211
486.01,1,245423.12431121,647085.42898622
486,1,245184.93791402,644632.24726218
485.99,1,244558.93018182,642185.36183873
485.98,1,244344.87274,639740.84069225
485.97,1,244131.79786616,637298.46797694
485.96,1,243918.73698894,634858.2124726
485.95,1,243705.17899574,632420.08159173
485.94,1,243491.12530917,629984.11643704
485.93,1,243276.40864582,627550.29107825
485.92,1,243061.11779672,625118.5994414
485.91,1,242845.17488054,622689.04586271
485.9,1,242628.41422712,620261.7181485
485.89,1,242410.9123939,617836.57865819
485.88,1,242192.59010038,615413.63317362
485.87,1,241973.40988087,612992.82838558
485.86,1,241753.36095255,610574.23994314
485.85,1,241532.40253847,608157.84332402
485.84,1,241310.23295944,605743.64491948
485.83,1,241086.6506733,603331.63394874
485.82,1,240861.47899161,600921.89997215
485.81,1,240633.91118665,598514.45365004
485.8,1,240376.42169635,596109.34431774
485.79,1,239915.96701046,593708.63922297
485.78,1,239641.38513405,591310.86118288
485.77,1,239369.51849835,588915.83827856
485.76,1,239099.16827718,586523.49831838
485.75,1,238829.92729148,584133.84536879
485.74,1,238561.67395594,581746.90886284
485.73,1,238294.20091754,579362.64141189
485.72,1,238027.56630016,576981.01853661
485.71,1,237761.58071574,574602.12255296
485.7,1,237496.41257638,572225.83531794
485.69,1,237231.9074617,569852.21688478
485.68,1,236968.00744953,567481.26887632
485.67,1,236704.74054355,565112.95472373
485.66,1,236442.14677259,562747.24290904
485.65,1,236179.83532431,560384.12602931
485.64,1,235917.71964001,558023.66807031
485.63,1,235655.38246576,555665.84166577
485.62,1,235392.05050932,553310.67915202
485.61,1,235125.90800407,550958.13400095
485.6,1,234743.02694717,548608.26030213
485.59,1,234326.97296014,546263.60196602
485.58,1,234076.99697448,543921.58001476
485.57,1,233828.93910394,541582.06636398
485.56,1,233581.19541904,539245.01924321
485.55,1,233333.45777044,536910.4087834
485.54,1,233085.62996829,534578.30043045
485.53,1,232837.77615263,532248.65128016
485.52,1,232589.94316538,529921.50199371
485.51,1,232342.04349217,527596.81052447
485.5,1,232094.09594253,525274.65430577
485.49,1,231845.98112466,522954.96025451
485.48,1,231597.69369394,520637.78312152
485.47,1,231349.24132129,518323.07116749
485.46,1,231100.62984352,516010.89440764
485.45,1,230851.89176453,513701.1102428
485.44,1,230602.83493095,511393.84960728
485.43,1,230353.60552863,509089.07338109
485.42,1,230103.87316708,506786.78438218
485.41,1,229852.20902304,504486.99928752
485.4,1,229350.63865823,502189.70251737
485.39,1,229014.36321902,499898.34232579
485.38,1,228811.51231647,497609.18775973
485.37,1,228611.78698947,495322.06876214
485.36,1,228412.95247185,493036.94658382
485.35,1,228214.54655959,490753.81267123
485.34,1,228015.88212611,488472.67137672
485.33,1,227816.80629184,486193.50394971
485.32,1,227617.24406864,483916.35583707
485.31,1,227417.19304665,481641.20210285
485.3,1,227216.61728817,479368.03249481
485.29,1,227015.22529758,477096.88728049
485.28,1,226813.11176946,474827.78744056
485.27,1,226610.2665212,472560.67654238
485.26,1,226406.71524113,470295.56102986
485.25,1,226202.39906767,468032.54760374
485.24,1,225997.10709647,465771.53774539
485.23,1,225790.77073519,463512.67333323
485.22,1,225582.9221647,461255.83638095
485.21,1,225371.73517391,459001.06916881
485.2,1,224833.87420865,456748.44411292
485.19,1,224582.82464671,454501.38017447
485.18,1,224366.38714811,452256.63055377
485.17,1,224154.35958559,450014.03986638
485.16,1,223944.09890286,447773.56914598
485.15,1,223735.15156835,445535.19833431
485.14,1,223526.97003664,443298.9098543
485.13,1,223319.30960189,441064.66733452
485.12,1,223112.03223641,438832.48246699
485.11,1,222905.05461182,436602.41774721
485.1,1,222698.39422785,434374.43155751
485.09,1,222492.01500928,432148.48107412
485.08,1,222285.72445219,429924.62779897
485.07,1,222079.61974658,427702.81621675
485.06,1,221873.61677756,425483.09000467
485.05,1,221667.6592716,423265.39893313
485.04,1,221461.69237907,421049.75704754
485.03,1,221255.55957595,418836.15231521
485.02,1,221048.71946137,416624.686717
485.01,1,220839.51992306,414415.26010676
485,1,220592.35509863,412208.02685457
484.99,1,220075.32952698,410005.97727946
484.98,1,219851.20417332,407806.33159416
484.97,1,219630.2533175,405608.91232763
484.96,1,219411.42491789,403413.70691493
484.95,1,219194.02693957,401220.69661011
484.94,1,218977.69649238,399029.85524967
484.93,1,218762.69441078,396841.17374306
484.92,1,218548.74086749,394654.67500802
484.91,1,218335.63539627,392470.27949274
484.9,1,218123.70747447,390288.00182663
484.89,1,217912.70155846,388107.80293746
484.88,1,217702.57008474,385929.73679378
484.87,1,217493.24460809,383753.78914817
484.86,1,217284.60440428,381579.89566318
484.85,1,217076.53488571,379408.12633109
