msl_height_m,z_factor,area_m2,volume_m3
483.69,1,182302.85537634,147052.27579789
483.68,1,182042.99019886,145230.57542257
483.67,1,181783.02110174,143411.48174659
483.66,1,181522.58644402,141595.00337156
483.65,1,181261.55882106,139781.14224532
483.64,1,180999.44713449,137969.88366112
483.63,1,180735.63294442,136161.27007846
483.62,1,180468.97608219,134355.32941431
483.61,1,180196.29639974,132552.07370525
483.6,1,178958.74918083,130751.63024421
483.59,1,178581.51849106,128964.07894721
483.58,1,178265.75621674,127179.8881473
483.57,1,177955.21415705,125398.76506622
483.56,1,177646.38640529,123620.74038972
483.55,1,177338.48483494,121845.83828087
483.54,1,177031.18413328,120073.98196722
483.53,1,176724.67907337,118305.23841803
483.52,1,176418.6484899,116539.51461866
483.51,1,176113.2277424,114776.84754626
483.5,1,175808.51801011,113017.24002551
483.49,1,175504.22272092,111260.69328545
483.48,1,175200.64167091,109507.19797003
483.47,1,174897.62076681,107756.73311375
483.46,1,174595.19968672,106009.29063517
483.45,1,174293.29044076,104264.84586526
483.44,1,173991.95658389,102523.44305069
483.43,1,173690.97056094,100785.0394441
483.42,1,173390.19647019,99049.643659461
483.41,1,173088.36680559,97317.277208278
483.4,1,172756.23645088,95587.988295643
483.39,1,172155.01596824,93864.650928904
483.38,1,171824.04887307,92144.769237495
483.37,1,171494.37035711,90428.166466789
483.36,1,171164.26233588,88714.874189317
483.35,1,170833.1375088,87004.862053687
483.34,1,170500.96768747,85298.209863197
483.33,1,170167.77539056,83594.855823695
483.32,1,169833.23677279,81894.858801321
483.31,1,169497.58421554,80198.227592552
483.3,1,169160.89317885,78504.924611612
483.29,1,168822.80349749,76815.022970147
483.28,1,168483.64470911,75128.480697893
483.27,1,168143.24225091,73445.354178417
483.26,1,167801.6080936,71765.641741632
483.25,1,167458.7012558,70089.345479061
483.24,1,167114.3586331,68416.495953002
483.23,1,166768.27258849,66747.09626254
483.22,1,166419.52305072,65081.177162468
483.21,1,166063.78949623,63418.785881194
483.2,1,164873.5584528,61760.105640019
483.19,1,163500.71315745,60122.506559973
483.18,1,163091.6730949,58489.54884956
483.17,1,162691.00339083,56860.633533794
483.16,1,162293.07407509,55235.717418694
483.15,1,161895.73873994,53614.770257969
483.14,1,161498.1675019,51997.77929626
483.13,1,161099.96461485,50384.799140459
483.12,1,160701.05839439,48775.796271223
483.11,1,160301.44531007,47170.825356436
483.1,1,159900.68126488,45569.814380394
483.09,1,159498.95343064,43972.826938709
483.08,1,159096.30734438,42379.873653974
483.07,1,158692.64806284,40790.988700917
483.06,1,158287.72821909,39206.139236834
483.05,1,157881.2661454,37625.359249397
483.04,1,157472.86746867,36048.653842106
483.03,1,157061.48082302,34476.067833447
483.02,1,156643.13262253,32907.660446047
483.01,1,156215.89019026,31343.481590881
483,1,155639.0693307,29783.877598346
482.99,1,153357.26827039,28247.596068953
482.98,1,152865.04862556,26716.501689708
482.97,1,152374.66505586,25190.297847413
482.96,1,151884.12071457,23669.001999656
482.95,1,151393.39098953,22152.63645218
482.94,1,150902.57750783,20641.16095124
482.93,1,150411.73067431,19134.599796258
482.92,1,149920.93094319,17632.941500956
482.91,1,149430.14112716,16136.191609942
482.9,1,148939.30940216,14644.334904006
482.89,1,148448.54708126,13157.405516536
482.88,1,147957.77266236,11675.396949868
482.87,1,147466.98998155,10198.297931283
482.86,1,146976.01396275,8726.0884104043
482.85,1,146484.77128435,7258.825649643
482.84,1,145992.50570377,5796.4922306333
482.83,1,145497.98098436,4339.1395932971
482.82,1,144996.9182422,2886.8076653166
482.81,1,144474.08244617,1439.6211008901
482.8,1,33140.978649364,0.40316732228767
